City,Number of Accidents,population,Accidents_Population
Pearland,322,127736.0,0.002520824199912319
Pearsall,12,8946.0,0.0013413816230717639
Pecan Gap,1,186.0,0.005376344086021506
Penitas,2,6331.0,0.000315905860053704
Perryton,4,8219.0,0.000486677211339579
Petrolia,7,539.0,0.012987012987012988
Pflugerville,3281,65301.0,0.05024425353363655
Pharr,58,80410.0,0.0007213033204825271
Pilot Point,3,5884.0,0.0005098572399728076
Pinehurst,19,2226.0,0.008535489667565139
Pineland,2,902.0,0.0022172949002217295
Plains,13,1328.0,0.009789156626506024
Plainview,14,19420.0,0.0007209062821833162
Plano,2438,290190.0,0.008401392191322927
Plantersville,10,502.0,0.0199203187250996
Pleasanton,14,11195.0,0.0012505582849486377
Ponder,1,2757.0,0.0003627130939426913
Port Arthur,8,55547.0,0.00014402217941563
Port Lavaca,14,11212.0,0.0012486621476988941
Portland,11,20481.0,0.0005370831502368048
Post,9,3486.0,0.0025817555938037868
Pottsboro,1,2779.0,0.0003598416696653472
Princeton,11,28027.0,0.00039247868127163094
Prosper,8,41660.0,0.00019203072491598655
Pyote,3,67.0,0.04477611940298507
Quanah,2,2226.0,0.0008984725965858042
Queen,9,1400.0,0.0064285714285714285
Quinlan,3,1537.0,0.001951854261548471
Quitman,5,2015.0,0.0024813895781637717
Ralls,4,1578.0,0.0025348542458808617
Ranger,10,2282.0,0.0043821209465381246
Ravenna,2,187.0,0.0106951871657754
Raymondville,6,10135.0,0.0005920078934385792
Red Oak,120,18624.0,0.006443298969072165
Refugio,1,2757.0,0.0003627130939426913
Reno,2,3544.0,0.000564334085778781
Reno,2,3489.0,0.0005732301519059903
Rhome,9,1843.0,0.0048833423765599565
Rice,25,1227.0,0.020374898125509373
Richardson,2492,117435.0,0.021220249499723252
Richland,2,273.0,0.007326007326007326
Richland Hills,11,8323.0,0.0013216388321518682
Richland Springs,1,247.0,0.004048582995951417
Richmond,180,12816.0,0.014044943820224719
Riesel,1,1062.0,0.0009416195856873823
Rio Grande,10,15311.0,0.0006531252041016263
Rio Hondo,4,2295.0,0.0017429193899782135
Rio Vista,2,1190.0,0.0016806722689075631
Rising Star,5,771.0,0.00648508430609598
River Oaks,1,7370.0,0.000135685210312076
Roanoke,191,10798.0,0.017688460826078903
Robinson,1,12987.0,7.7000077000077e-05
Robstown,4,10335.0,0.00038703434929850025
Rockdale,5,5588.0,0.0008947745168217609
Rocksprings,4,848.0,0.0047169811320754715
Rockwall,1003,52918.0,0.018953853131259683
Roma,2,11554.0,0.00017310022503029253
Roscoe,28,1220.0,0.022950819672131147
Rosebud,1,1339.0,0.0007468259895444362
Rosenberg,118,41104.0,0.0028707668353444922
Rotan,5,1309.0,0.0038197097020626434
Round Mountain,34,116.0,0.29310344827586204
Round Rock,1411,130406.0,0.01082005429198043
Round Top,1,93.0,0.010752688172043012
Rowlett,579,66813.0,0.00866597817789951
Royse,343,24138.0,0.014209959400116
Rule,2,556.0,0.0035971223021582736
Runge,5,946.0,0.005285412262156448
Rusk,6,5362.0,0.0011189854531891085
Sabinal,3,1377.0,0.002178649237472767
Sachse,29,32294.0,0.0008979996284139469
Saginaw,10,25139.0,0.00039778829706830024
Salado,39,2394.0,0.016290726817042606
San Angelo,12,99262.0,0.0001208921843202837
San Antonio,35686,1495295.0,0.023865524862986903
San Augustine,4,1867.0,0.0021424745581146223
San Benito,14,24493.0,0.0005715918833952558
San Elizario,24,10164.0,0.0023612750885478157
San Juan,24,36448.0,0.0006584723441615452
San Marcos,581,71569.0,0.008118039933490757
San Saba,1,3115.0,0.00032102728731942215
Sanger,197,9831.0,0.020038653239751805
Santa Anna,1,1030.0,0.000970873786407767
Santa Fe,26,12980.0,0.002003081664098613
Savoy,8,753.0,0.010624169986719787
Schertz,563,43239.0,0.013020652651541433
Schulenburg,12,2783.0,0.004311893639956881
Seabrook,28,13662.0,0.0020494803103498754
Seadrift,4,1009.0,0.003964321110009911
Seagoville,103,19643.0,0.005243598228376521
Sealy,55,7243.0,0.007593538588982466
Seguin,120,36013.0,0.003332130064143504
Selma,52,11748.0,0.004426285325161729
Seminole,2,7231.0,0.00027658691743880515
Seymour,13,2576.0,0.005046583850931677
Shallowater,15,2932.0,0.005115961800818554
Shamrock,4,1709.0,0.0023405500292568754
Shavano Park,3,3722.0,0.0008060182697474476
Shenandoah,38,3807.0,0.00998161281849225
Shepherd,16,2005.0,0.00798004987531172
Sherman,49,47473.0,0.0010321656520548522
Shiner,3,2163.0,0.0013869625520110957
Silsbee,1,6775.0,0.00014760147601476016
Sinton,2,5551.0,0.0003602954422626554
Slaton,4,5684.0,0.0007037297677691766
Smithville,12,4126.0,0.00290838584585555
Snyder,8,11187.0,0.000715115759363547
Socorro,87,38238.0,0.0022752235995606466
Somerset,2,1806.0,0.0011074197120708748
Somerville,1,1419.0,0.0007047216349541931
Sonora,9,2391.0,0.0037641154328732747
Sour Lake,1,1851.0,0.0005402485143165856
South Houston,53,15808.0,0.003352732793522267
Southlake,204,31137.0,0.006551690914346276
Splendora,19,1958.0,0.009703779366700716
Spring Branch,6,244.0,0.02459016393442623
Springlake,1,141.0,0.0070921985815602835
Springtown,5,4181.0,0.001195886151638364
Stafford,483,17338.0,0.027857884415734224
Stamford,1,2942.0,0.0003399048266485384
Stanton,47,2654.0,0.017709118311981915
Stephenville,7,21946.0,0.00031896473161396156
Sterling,1,1138.0,0.0008787346221441124
Stinnett,6,1613.0,0.0037197768133911966
Stockdale,2,1470.0,0.0013605442176870747
Stratford,21,1886.0,0.011134676564156946
Strawn,3,561.0,0.0053475935828877
Streetman,11,267.0,0.04119850187265917
Sudan,3,933.0,0.003215434083601286
Sugar Land,444,108515.0,0.004091600239598212
Sullivan,1,3899.0,0.00025647601949217746
Sulphur Springs,6,16564.0,0.0003622313450857281
Sunnyvale,537,8486.0,0.06328069761960876
Sunset Valley,42,624.0,0.0673076923076923
Sweeny,8,3570.0,0.002240896358543417
Sweetwater,54,10285.0,0.005250364608653379
Tahoka,1,2427.0,0.00041203131437989287
Talco,1,488.0,0.0020491803278688526
Tatum,1,1377.0,0.0007262164124909223
Taylor,20,17337.0,0.0011536021226279055
Teague,21,3536.0,0.005938914027149321
Temple,142,93095.0,0.0015253235941779903
Terrell,324,21480.0,0.015083798882681564
Texarkana,62,35741.0,0.0017347024425729554
Texas,105,56609.0,0.0018548287374799061
Texline,2,464.0,0.004310344827586207
The Colony,107,45471.0,0.0023531481603659477
The Hills,15,2372.0,0.006323777403035413
Thornton,2,423.0,0.004728132387706856
Thrall,9,865.0,0.010404624277456647
Timpson,8,1002.0,0.007984031936127744
Tolar,1,1227.0,0.0008149959250203749
Tomball,343,14201.0,0.02415322864587001
Trent,5,294.0,0.017006802721088437
Trenton,2,815.0,0.00245398773006135
Trinity,1,2449.0,0.0004083299305839118
Troy,94,3169.0,0.02966235405490691
Tyler,3215,110327.0,0.029140645535544338
Universal,29,20028.0,0.0014479728380267626
Uvalde,19,15436.0,0.0012308888313034465
Valley View,3,864.0,0.003472222222222222
Van,6,2862.0,0.0020964360587002098
Van Alstyne,4,6782.0,0.0005897965202005308
Van Horn,30,1961.0,0.015298317185109638
Vega,6,884.0,0.006787330316742082
Venus,9,7528.0,0.001195536663124336
Vernon,9,9788.0,0.0009194932570494483
Victoria,36,65800.0,0.000547112462006079
Vidor,17,9738.0,0.0017457383446292873
Volente,38,503.0,0.07554671968190854
Von Ormy,216,1194.0,0.18090452261306533
Waco,353,144816.0,0.002437575958457629
Waelder,11,955.0,0.011518324607329843
